Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-9617324,"Negative regulation of NMDA receptor-mediated neuronal transmission",4,27,1,3,0.0018566909641039746,3.101589278264871E-5,0.0035978435627872507,4,4,2.959455460195324E-4,9606,Homo sapiens,"Q14957;P0DP23;P35609;Q13557","Q14957;P0DP23;P35609;Q13557",O60610,P49593,"R-HSA-9619430;R-HSA-9619467;R-HSA-9619449;R-HSA-9617326"
R-HSA-936837,"Ion transport by P-type ATPases",6,71,2,34,0.004882409572273415,3.4979817468250296E-5,0.0037078606516345314,3,16,0.0011837821840781297,9606,Homo sapiens,"P30626;P0DP23;Q13557;P23634;P16615;P26678","P30626;P0DP23;Q13557;P23634;P16615;P26678",P30626;P49810,P30626,"R-HSA-427910;R-HSA-418309;R-HSA-418365"
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",4,27,0,11,0.0018566909641039746,7.705659644230423E-5,0.007551546451345814,5,5,3.699319325244155E-4,9606,Homo sapiens,"Q14957;P0DP23;P35609;Q13557","",,,"R-HSA-432164;R-HSA-438037;R-HSA-432162;R-HSA-432172;R-HSA-9614185"
R-HSA-112308,"Presynaptic depolarization and calcium channel opening",3,14,0,9,9.627286480539128E-4,3.437934584340496E-4,0.031285204717498516,1,1,7.39863865048831E-5,9606,Homo sapiens,"Q02641;Q08289;O00555","",,,"R-HSA-210420"
R-HSA-5576893,"Phase 2 - plateau phase",3,17,0,9,0.0011690276440654655,4.904243887940973E-4,0.04110050753217831,1,2,1.479727730097662E-4,9606,Homo sapiens,"Q02641;Q13936;Q08289","",,,"R-HSA-5577213"
R-HSA-382551,"Transport of small molecules",24,958,18,1150,0.06587814605968918,5.202595890149153E-4,0.04110050753217831,57,442,0.03270198283515833,9606,Homo sapiens,"Q8TD43;Q92736;P30626;P32418;P0DP23;Q9C0H2;Q13557;P16615;P49281;Q8NE86;P19634;Q8NBP7;P17612;O14958;P68106;P21817;O00141;Q9UBN4;O15247;Q13061;P23634;O94759;P21796;P26678","Q8TD43;Q92736;P30626;P32418;P0DP23;Q9C0H2;Q13557;P16615;P49281;Q8NE86;P19634;Q8NBP7;P17612;O14958;P68106;P21817;O00141;Q9UBN4;O15247;Q13061;P23634;O94759;P21796;P26678",P30626;Q13586;P16615;Q8NE86;Q8NBP7;P49810;P49768;P11021;Q8NBP7;Q16623;P14416;P49768;P26678;Q8NE86;P05067;Q03135;P05067;P05556,Q9BY76;Q8IWU4;P30626;P30825;Q7Z2H8;P63208;Q01959;Q8N4V1;Q9H4I9;O15118;P01130;Q3KNW5;P13569;Q9BPX6;P02647;P02649,"R-HSA-427910;R-HSA-418309;R-HSA-379393;R-HSA-6784738;R-HSA-425994;R-HSA-8949145;R-HSA-174739;R-HSA-6784628;R-HSA-8949659;R-HSA-435349;R-HSA-264848;R-HSA-216727;R-HSA-8949661;R-HSA-437136;R-HSA-174741;R-HSA-8949649;R-HSA-2744242;R-HSA-174624;R-HSA-8866851;R-HSA-8951727;R-HSA-8949668;R-HSA-264758;R-HSA-8949178;R-HSA-111925;R-HSA-216756;R-HSA-6784735;R-HSA-6784734;R-HSA-425661;R-HSA-418365;R-HSA-266303;R-HSA-6784729;R-HSA-8855111;R-HSA-8876485;R-HSA-6784676;R-HSA-174657;R-HSA-8876484;R-HSA-2682349;R-HSA-2855020;R-HSA-433089;R-HSA-5691167;R-HSA-171087;R-HSA-383190;R-HSA-5336454;R-HSA-5678863;R-HSA-8855131;R-HSA-8855130;R-HSA-171106;R-HSA-5682101;R-HSA-375776;R-HSA-3295579;R-HSA-432232;R-HSA-3295580;R-HSA-8866551;R-HSA-171122;R-HSA-264695;R-HSA-375417;R-HSA-8953461"
R-HSA-5607763,"CLEC7A (Dectin-1) induces NFAT activation",3,18,0,10,0.0012377939760693166,6.074171238297232E-4,0.04555628428722924,6,6,4.439183190292986E-4,9606,Homo sapiens,"Q14643;P0DP23;Q14571","",,,"R-HSA-2730872;R-HSA-74448;R-HSA-169683;R-HSA-169680;R-HSA-2730849;R-HSA-2730867"
R-HSA-419037,"NCAM1 interactions",4,44,2,27,0.0030257186081694403,7.701361719771871E-4,0.05265741197860552,3,10,7.39863865048831E-4,9606,Homo sapiens,"Q02641;O43497;Q13936;Q08289","Q02641;O43497;Q13936;Q08289",P05067;P05067,Q02246;P04156,"R-HSA-375157;R-HSA-525833;R-HSA-375154"
R-HSA-9022535,"Loss of phosphorylation of MECP2 at T308",2,7,0,0,4.813643240269564E-4,7.859315220687391E-4,0.05265741197860552,1,1,7.39863865048831E-5,9606,Homo sapiens,"P17612;P0DP23","",,,"R-HSA-9005561"
R-HSA-425561,"Sodium/Calcium exchangers",3,15,2,21,0.0010314949800577637,0.001152112611840117,0.07258309454592737,1,4,2.959455460195324E-4,9606,Homo sapiens,"P30626;P32418;P0DP23","P30626;P32418;P0DP23",P30626;P49810,P30626,"R-HSA-425661"
R-HSA-422356,"Regulation of insulin secretion",8,106,4,269,0.007289231192408197,0.0014416903525306113,0.08650142115183668,13,34,0.0025155371411660255,9606,Homo sapiens,"P17612;Q14643;Q16623;P17252;Q14571;Q13936;Q08289;O00555","P17612;Q14643;Q16623;P17252;Q14571;Q13936;Q08289;O00555",P12814;P20073;P05067;Q16623,18348;P60880;P16671;P61764;P63027,"R-HSA-400046;R-HSA-381644;R-HSA-265645;R-HSA-400015;R-HSA-265166;R-HSA-434381;R-HSA-399978;R-HSA-381707;R-HSA-169683;R-HSA-169680;R-HSA-381713;R-HSA-265682;R-HSA-399998"
R-HSA-3295583,"TRP channels",3,30,0,9,0.0020629899601155273,0.001567563352705692,0.09091867445693014,2,4,2.959455460195324E-4,9606,Homo sapiens,"Q8TD43;Q9UBN4;O94759","",,,"R-HSA-3295579;R-HSA-3295580"
R-HSA-390522,"Striated Muscle Contraction",3,40,0,9,0.0027506532801540367,0.0029819730309135206,0.16181621765884568,4,4,2.959455460195324E-4,9606,Homo sapiens,"P19429;P35609;P11532","",,,"R-HSA-390597;R-HSA-390598;R-HSA-390593;R-HSA-390595"
R-HSA-76005,"Response to elevated platelet cytosolic Ca2+",6,146,2,103,0.010039884472562233,0.003167369642942841,0.16181621765884568,6,14,0.0010358094110683633,9606,Homo sapiens,"P11021;P0DP23;P35609;P17252;P12814;P05067","P11021;P0DP23;P35609;P17252;P12814;P05067",P05067;Q16623,Q12846;P11021,"R-HSA-482772;R-HSA-481007;R-HSA-114553;R-HSA-114683;R-HSA-114684;R-HSA-351323"
R-HSA-9013700,"NOTCH4 Activation and Transmission of Signal to the Nucleus",2,12,1,4,8.25195984046211E-4,0.0039694347129191065,0.16181621765884568,3,5,3.699319325244155E-4,9606,Homo sapiens,"P49810;P49768","P49810;P49768",P05067,Q99466,"R-HSA-9604294;R-HSA-9604308;R-HSA-9604264"
R-HSA-9005891,"Loss of function of MECP2 in Rett syndrome",2,16,0,0,0.0011002613120616146,0.0039694347129191065,0.16181621765884568,1,5,3.699319325244155E-4,9606,Homo sapiens,"P17612;P0DP23","",,,"R-HSA-9005561"
R-HSA-9675151,"Disorders of Developmental Biology",2,16,0,0,0.0011002613120616146,0.0039694347129191065,0.16181621765884568,1,5,3.699319325244155E-4,9606,Homo sapiens,"P17612;P0DP23","",,,"R-HSA-9005561"
R-HSA-9005895,"Pervasive developmental disorders",2,16,0,0,0.0011002613120616146,0.0039694347129191065,0.16181621765884568,1,5,3.699319325244155E-4,9606,Homo sapiens,"P17612;P0DP23","",,,"R-HSA-9005561"
R-HSA-9697154,"Disorders of Nervous System Development",2,16,0,0,0.0011002613120616146,0.0039694347129191065,0.16181621765884568,1,5,3.699319325244155E-4,9606,Homo sapiens,"P17612;P0DP23","",,,"R-HSA-9005561"
R-HSA-9620244,"Long-term potentiation",4,31,2,80,0.0021317562921193784,0.004065783311316906,0.16181621765884568,7,7,5.179047055341817E-4,9606,Homo sapiens,"Q14957;P0DP23;P35609;Q13557","Q14957;P0DP23;P35609;Q13557",P12814;P06241,P12931,"R-HSA-445367;R-HSA-442725;R-HSA-9618785;R-HSA-9612085;R-HSA-9618811;R-HSA-9618750;R-HSA-9617583"
R-HSA-163685,"Integration of energy metabolism",8,145,4,302,0.009971118140558382,0.004084563150091425,0.16181621765884568,17,62,0.0045871559633027525,9606,Homo sapiens,"P17612;Q14643;Q16623;P17252;Q14571;Q13936;Q08289;O00555","P17612;Q14643;Q16623;P17252;Q14571;Q13936;Q08289;O00555",P12814;P20073;P05067;Q16623,18348;P60880;P16671;P61764;P63027,"R-HSA-400046;R-HSA-381644;R-HSA-265645;R-HSA-400015;R-HSA-265166;R-HSA-434381;R-HSA-399978;R-HSA-381707;R-HSA-169683;R-HSA-169680;R-HSA-111925;R-HSA-381713;R-HSA-265682;R-HSA-399998;R-HSA-163672;R-HSA-163676;R-HSA-163773"
R-HSA-114608,"Platelet degranulation ",5,139,1,43,0.009558520148535277,0.004149133786124248,0.16181621765884568,3,11,8.138502515537141E-4,9606,Homo sapiens,"P11021;P0DP23;P35609;P12814;P05067","P11021;P0DP23;P35609;P12814;P05067",P05067,P11021,"R-HSA-482772;R-HSA-481007;R-HSA-351323"
R-HSA-1489509,"DAG and IP3 signaling",6,53,6,223,0.0036446155962040986,0.00513336236620987,0.1935078274056784,24,28,0.0020716188221367266,9606,Homo sapiens,"P17612;Q14643;P0DP23;P17252;Q13557;Q14571","P17612;Q14643;P0DP23;P17252;Q13557;Q14571",P17612;P12814;Q03135;P20073;O00141;P05067,18348;P25098;P19174;P16220;P13861,"R-HSA-9618834;R-HSA-442725;R-HSA-111970;R-HSA-167686;R-HSA-8951727;R-HSA-9619125;R-HSA-111913;R-HSA-111912;R-HSA-111915;R-HSA-111916;R-HSA-111919;R-HSA-74448;R-HSA-169683;R-HSA-169680;R-HSA-111925;R-HSA-111924;R-HSA-111956;R-HSA-111930;R-HSA-442749;R-HSA-9668558;R-HSA-9617583;R-HSA-9618863;R-HSA-444792;R-HSA-111966"
R-HSA-442982,"Ras activation upon Ca2+ influx through NMDA receptor",3,27,0,35,0.0018566909641039746,0.005229941281234551,0.1935078274056784,2,2,1.479727730097662E-4,9606,Homo sapiens,"P0DP23;P35609;Q13557","",,,"R-HSA-442732;R-HSA-442760"
R-HSA-3928665,"EPH-ephrin mediated repulsion of cells",4,55,2,73,0.0037821482602118004,0.00614999428593721,0.22139979429373957,8,9,6.658774785439479E-4,9606,Homo sapiens,"P14780;P06241;P49810;P49768","P14780;P06241;P49810;P49768",Q9UKS6;P05067,O14672,"R-HSA-4093327;R-HSA-3928607;R-HSA-3928604;R-HSA-3928642;R-HSA-3928657;R-HSA-3928656;R-HSA-3928660;R-HSA-3928628"
R-HSA-418457,"cGMP effects",2,18,0,3,0.0012377939760693166,0.006710983704972584,0.23488442967404044,2,4,2.959455460195324E-4,9606,Homo sapiens,"Q14643;Q12791","",,,"R-HSA-418549;R-HSA-418442"
R-HSA-983695,"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",6,103,7,193,0.007082932196396644,0.0069403268338512625,0.23597111235094292,15,25,0.0018496596626220775,9606,Homo sapiens,"Q96D31;Q14643;Q13586;P0DP23;P06241;Q14571","Q96D31;Q14643;Q13586;P0DP23;P06241;Q14571",Q13563;Q13586;P12814;Q03135;P20073;P05067;P05556,18348;P43405;16618;P48995,"R-HSA-2076220;R-HSA-434798;R-HSA-2089943;R-HSA-2045911;R-HSA-1168376;R-HSA-434700;R-HSA-1112666;R-HSA-74448;R-HSA-169683;R-HSA-169680;R-HSA-983709;R-HSA-9606151;R-HSA-9606884;R-HSA-2089927;R-HSA-983700"
R-HSA-112043,"PLC beta mediated events",6,67,5,235,0.004607344244258012,0.00775440312922393,0.25495993911214754,25,32,0.0023675643681562593,9606,Homo sapiens,"P17612;Q14643;P0DP23;P17252;Q13557;Q14571","P17612;Q14643;P0DP23;P17252;Q13557;Q14571",P17612;P12814;P20073;O00141;P05067,18348;P25098;P28482;P16220;P13861,"R-HSA-9618834;R-HSA-111879;R-HSA-74448;R-HSA-169683;R-HSA-169680;R-HSA-111956;R-HSA-111898;R-HSA-9668558;R-HSA-111966;R-HSA-442725;R-HSA-111970;R-HSA-8951727;R-HSA-9619125;R-HSA-111913;R-HSA-111912;R-HSA-111915;R-HSA-111916;R-HSA-111919;R-HSA-111925;R-HSA-111924;R-HSA-111930;R-HSA-442749;R-HSA-9617583;R-HSA-9618863;R-HSA-444792"
R-HSA-392154,"Nitric oxide stimulates guanylate cyclase",3,35,0,35,0.002406821620134782,0.00796749809725461,0.25495993911214754,3,7,5.179047055341817E-4,9606,Homo sapiens,"Q14643;P29475;Q12791","",,,"R-HSA-418436;R-HSA-418549;R-HSA-418442"
R-HSA-112040,"G-protein mediated events",6,72,5,235,0.004951175904277266,0.008376637466004588,0.25967576144614224,25,41,0.0030334418467002073,9606,Homo sapiens,"P17612;Q14643;P0DP23;P17252;Q13557;Q14571","P17612;Q14643;P0DP23;P17252;Q13557;Q14571",P17612;P12814;P20073;O00141;P05067,18348;P25098;P28482;P16220;P13861,"R-HSA-9618834;R-HSA-111879;R-HSA-74448;R-HSA-169683;R-HSA-169680;R-HSA-111956;R-HSA-111898;R-HSA-9668558;R-HSA-111966;R-HSA-442725;R-HSA-111970;R-HSA-8951727;R-HSA-9619125;R-HSA-111913;R-HSA-111912;R-HSA-111915;R-HSA-111916;R-HSA-111919;R-HSA-111925;R-HSA-111924;R-HSA-111930;R-HSA-442749;R-HSA-9617583;R-HSA-9618863;R-HSA-444792"
R-HSA-9609523,"Insertion of tail-anchored proteins into the endoplasmic reticulum membrane",2,25,0,0,0.0017191583000962728,0.00936974845912586,0.29046220223290165,7,7,5.179047055341817E-4,9606,Homo sapiens,"Q16623;P05067","",,,"R-HSA-9609921;R-HSA-9609860;R-HSA-9610442;R-HSA-9609899;R-HSA-9617595;R-HSA-9617596;R-HSA-9609917"
R-HSA-111933,"Calmodulin induced events",4,43,3,109,0.002956952276165589,0.010931948560095717,0.3170265082427758,20,23,0.0017016868896123113,9606,Homo sapiens,"P17612;P0DP23;P17252;Q13557","P17612;P0DP23;P17252;Q13557",P17612;O00141;P05067,P25098;P16220;P13861,"R-HSA-9618834;R-HSA-442725;R-HSA-111970;R-HSA-8951727;R-HSA-9619125;R-HSA-111913;R-HSA-111912;R-HSA-111915;R-HSA-111916;R-HSA-111919;R-HSA-111925;R-HSA-111924;R-HSA-111956;R-HSA-111930;R-HSA-442749;R-HSA-9668558;R-HSA-9617583;R-HSA-9618863;R-HSA-444792;R-HSA-111966"
R-HSA-9035034,"RHOF GTPase cycle",3,46,0,35,0.003163251272177142,0.011034105756760226,0.31998906694604656,1,3,2.219591595146493E-4,9606,Homo sapiens,"O60610;P12814;Q03135","",,,"R-HSA-9693125"
R-HSA-2025928,"Calcineurin activates NFAT",2,12,1,18,8.25195984046211E-4,0.013242878650594703,0.36628340077092614,3,3,2.219591595146493E-4,9606,Homo sapiens,"P0DP23;P62942","P0DP23;P62942",P05067,P62942,"R-HSA-2025882;R-HSA-2025890;R-HSA-9690461"
R-HSA-111997,"CaM pathway",4,43,3,119,0.002956952276165589,0.013595241957744086,0.36628340077092614,21,24,0.0017756732761171944,9606,Homo sapiens,"P17612;P0DP23;P17252;Q13557","P17612;P0DP23;P17252;Q13557",P17612;O00141;P05067,P25098;P16220;P13861,"R-HSA-9618834;R-HSA-442725;R-HSA-111970;R-HSA-8951727;R-HSA-9619125;R-HSA-111913;R-HSA-111912;R-HSA-111915;R-HSA-111916;R-HSA-111919;R-HSA-74448;R-HSA-111925;R-HSA-111924;R-HSA-111956;R-HSA-111930;R-HSA-442749;R-HSA-9668558;R-HSA-9617583;R-HSA-9618863;R-HSA-444792;R-HSA-111966"
R-HSA-2979096,"NOTCH2 Activation and Transmission of Signal to the Nucleus",2,23,0,8,0.001581625636088571,0.014087823106574082,0.36628340077092614,2,11,8.138502515537141E-4,9606,Homo sapiens,"P49810;P49768","",,,"R-HSA-2974731;R-HSA-157640"
R-HSA-5218921,"VEGFR2 mediated cell proliferation",4,31,3,133,0.0021317562921193784,0.01537502026403803,0.3852040782920163,11,12,8.878366380585972E-4,9606,Homo sapiens,"Q14643;P0DP23;P17252;Q14571","Q14643;P0DP23;P17252;Q14571",P12814;Q03135;P20073,18348;P20936;P19174,"R-HSA-74448;R-HSA-169683;R-HSA-169680;R-HSA-5218813;R-HSA-5218845;R-HSA-167686;R-HSA-5218823;R-HSA-4420202;R-HSA-5218821;R-HSA-5218805;R-HSA-4420153"
R-HSA-9013405,"RHOD GTPase cycle",3,57,0,35,0.003919680924219502,0.01559092740025636,0.3852040782920163,1,9,6.658774785439479E-4,9606,Homo sapiens,"O60610;P12814;Q03135","",,,"R-HSA-9693198"
R-HSA-445095,"Interaction between L1 and Ankyrins",2,33,0,0,0.0022692889561270802,0.01584571456536954,0.3852040782920163,4,4,2.959455460195324E-4,9606,Homo sapiens,"Q14524;Q01484","",,,"R-HSA-445076;R-HSA-374675;R-HSA-392751;R-HSA-373739"
R-HSA-442742,"CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling",3,39,1,55,0.0026818869481501856,0.016050169928834013,0.3852040782920163,3,7,5.179047055341817E-4,9606,Homo sapiens,"P0DP23;P35609;Q13557","P0DP23;P35609;Q13557",O00141,P16220,"R-HSA-442724;R-HSA-442732;R-HSA-442760"
R-HSA-3000171,"Non-integrin membrane-ECM interactions",5,61,7,204,0.004194746252234906,0.017010850148255097,0.39130792897853817,7,22,0.0016277005031074283,9606,Homo sapiens,"P05556;P17252;P12814;P11532;Q9ULB1","P05556;P17252;P12814;P11532;Q9ULB1",Q13425;Q13424;Q13936;P35609;P12814;P20073;P05067,18348;P12814;P01137;P11532,"R-HSA-2328129;R-HSA-2731147;R-HSA-2426263;R-HSA-2750187;R-HSA-2731149;R-HSA-2731074;R-HSA-2731078"
R-HSA-5619048,"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",1,3,0,0,2.0629899601155274E-4,0.01713929983991358,0.39130792897853817,1,1,7.39863865048831E-5,9606,Homo sapiens,"P49281","",,,"R-HSA-5623558"
R-HSA-1299316,"TWIK-releated acid-sensitive K+ channel (TASK)",1,3,0,0,2.0629899601155274E-4,0.01713929983991358,0.39130792897853817,1,1,7.39863865048831E-5,9606,Homo sapiens,"O14649","",,,"R-HSA-1299318"
R-HSA-375165,"NCAM signaling for neurite out-growth",5,70,5,197,0.004813643240269564,0.017786724044479008,0.39130792897853817,12,23,0.0017016868896123113,9606,Homo sapiens,"Q02641;O43497;P06241;Q13936;Q08289","Q02641;O43497;P06241;Q13936;Q08289",Q9UKS6;P05067;O00141;P05067;P06241,Q02246;P06241;Q07889;P16220;P04156,"R-HSA-392053;R-HSA-375157;R-HSA-525833;R-HSA-392054;R-HSA-392051;R-HSA-375154;R-HSA-391868;R-HSA-391871;R-HSA-391865;R-HSA-199935;R-HSA-391867;R-HSA-391866"
R-HSA-8949215,"Mitochondrial calcium ion transport",2,27,2,15,0.0018566909641039746,0.020623993131128282,0.4537278488848222,7,10,7.39863865048831E-4,9606,Homo sapiens,"Q8NE86;P21796","Q8NE86;P21796",Q8NE86;Q8NE86,Q9BPX6;Q9H4I9,"R-HSA-8949145;R-HSA-8949178;R-HSA-8949659;R-HSA-8949661;R-HSA-8949649;R-HSA-8949668;R-HSA-8953461"
R-HSA-381676,"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",3,49,0,55,0.003369550268188695,0.021059960956680723,0.4633191410469759,3,11,8.138502515537141E-4,9606,Homo sapiens,"P17612;Q14643;Q14571","",,,"R-HSA-381713;R-HSA-381644;R-HSA-381707"
R-HSA-983705,"Signaling by the B Cell Receptor (BCR)",7,189,7,313,0.012996836748727822,0.02252220865185206,0.47296638168889327,20,44,0.0032554010062148565,9606,Homo sapiens,"Q96D31;Q14643;Q13586;P0DP23;P06241;Q14571;P62942","Q96D31;Q14643;Q13586;P0DP23;P06241;Q14571;P62942",Q13563;Q13586;P12814;Q03135;P20073;P05067;P05556,18348;P43405;P07948;16618;P29350;P62942;P48995,"R-HSA-2076220;R-HSA-2025882;R-HSA-434798;R-HSA-2089943;R-HSA-2045911;R-HSA-1168376;R-HSA-434700;R-HSA-1112666;R-HSA-9690461;R-HSA-74448;R-HSA-169683;R-HSA-169680;R-HSA-983709;R-HSA-9606151;R-HSA-9606884;R-HSA-2089927;R-HSA-5690702;R-HSA-983700;R-HSA-5690701;R-HSA-2025890"
